|   planet_name |    v_esc |         I | mass_constraint | fill_color |     line_color | obs_by_jwst |                 ra |                 dec |
|       <U13    |  float64 |   float64 |            bool |       <U10 |           <U15 |        bool |            float64 |             float64 |
|    TOI-406.01 |  19.8804 |   28.9498 |            True |       grey | mediumseagreen |       False |         49.2626428 |         -42.2441492 |
|     TOI-198 b |    18.43 |   24.5314 |            True |       grey | mediumseagreen |       False |          2.2715087 |         -27.1217452 |
|    TOI-1452 b |  18.9924 |    36.872 |           False |       grey |        darkred |       False |        290.1739741 |          73.1951082 |
|     TOI-700 d |  11.5341 |    8.2646 |           False |       grey |        darkred |       False |          97.096788 |          -65.579312 |
|    LHS 1140 b |  20.1254 |   11.3851 |            True |       grey | mediumseagreen |       False |           11.24724 |          -15.271532 |
|     TOI-776 b |  18.6537 |   71.6607 |           False |       grey |        darkred |       False |         178.577997 |         -37.5533568 |
|     TOI-260 b |  16.7429 |   53.9077 |           False |       grey |        darkred |       False |          4.7730178 |          -9.9661505 |
|    LP 890-9 c |    15.67 |    45.147 |           False |       grey |        darkred |       False |         64.1309096 |         -28.3157909 |
|      K2-415 b |   19.231 |  141.5986 |           False |       grey |        darkred |       False |        137.2015437 |          11.8622503 |
|  TRAPPIST-1 g |  12.0998 |   22.6502 |            True |       grey | mediumseagreen |       False |         346.622013 |           -5.041274 |
|    TOI-1467 b |  18.2878 |  117.9031 |           False |       grey |        darkred |       False |         19.1146441 |          49.2331382 |
|     TOI-700 e |   9.9697 |   12.2923 |           False |       grey |        darkred |       False |         97.0957165 |         -65.5786149 |
|    TOI-1680 b |   16.965 |  114.7851 |           False |       grey |        darkred |       False |         292.313979 |          65.9738018 |
|     TOI-244 b |  14.8532 |   70.5527 |            True |       grey | mediumseagreen |       False |         10.5697537 |         -36.7179743 |
|     TOI-237 b |  16.1377 |   95.9878 |           False |       grey |        darkred |       False |        353.2435381 |          -29.416487 |
|  LTT 1445 A b |  16.0868 |  102.8242 |            True |       grey | mediumseagreen |       False |          45.464111 |          -16.593372 |
|   HD 260655 c |  15.8812 |   116.309 |            True |       grey | mediumseagreen |       False |         99.2915429 |          17.5662696 |
|      K2-239 d |  11.8828 |   40.3789 |           False |       grey |        darkred |       False |         160.594299 |            4.441349 |
|    TOI-5799 b |  17.2509 |  190.4991 |           False |       grey |        darkred |       False |         301.630179 |          15.9891418 |
|  TRAPPIST-1 f |  11.1538 |   33.4866 |            True |       grey | mediumseagreen |       False |         346.622013 |           -5.041274 |
|      K2-129 b | 11.06472 |   58.9521 |           False |       grey |        darkred |       False |         289.148315 |          -25.644964 |
|    TOI-4559 b |  15.8594 |  180.1894 |           False |       grey |        darkred |       False |        211.0135378 |         -30.0141252 |
|  Kepler-445 b |  16.7645 |  231.7996 |           False |       grey |        darkred |       False | 298.73607500394183 |   46.49833333333333 |
|   TOI-5388.01 |  17.7962 |  295.2535 |           False |       grey |        darkred |       False |        152.1765169 |          35.5475571 |
|    TOI-2266 b |  17.5073 |  288.0561 |           False |       grey |        darkred |       False |        245.2800398 |          31.5770413 |
|   Gliese 12 b |  10.0406 |   32.9033 |           False |       grey |        darkred |       False |          3.9579137 |          13.5576175 |
|    TOI-1634 b |  23.1136 |  988.2916 |           False |       grey |        darkred |       False |         56.3906096 |          37.1122803 |
|    LHS 1140 c |  13.7179 |  133.8553 |            True |       grey | mediumseagreen |       False |           11.24724 |          -15.271532 |
|    LP 890-9 b |  15.0238 |  204.5114 |           False |       grey |        darkred |       False |         64.1309096 |         -28.3157909 |
|      GJ 357 b |  13.7373 |  153.4131 |            True |       grey | mediumseagreen |       False |         144.006821 |          -21.660797 |
|    TOI-1468 b |  17.7142 |  431.0966 |            True |       grey | mediumseagreen |       False |         16.6538724 |          19.2249195 |
|  TRAPPIST-1 h |   7.3504 |   12.9533 |            True |       grey | mediumseagreen |       False |         346.622013 |           -5.041274 |
|      K2-239 c |  10.5634 |   55.0939 |           False |       grey |        darkred |       False |         160.594299 |            4.441349 |
|     TOI-406 b |  14.0417 |  186.8625 |            True |       grey | mediumseagreen |       False |         49.2626428 |         -42.2441492 |
|    LHS 1815 b |  13.4799 |  167.0916 |           False |       grey |        darkred |       False |          91.084816 |          -55.313011 |
|      K2-239 b |  11.8924 |  102.3432 |           False |       grey |        darkred |       False |         160.594299 |            4.441349 |
|    TOI-2096 b |  13.8845 |   204.925 |           False |       grey |        darkred |       False |        151.6186989 |          74.8272107 |
|     L 98-59 d |  10.2975 |   67.2401 |            True |       grey | mediumseagreen |       False |          124.53175 |             -68.313 |
|     TOI-700 b |   9.4522 |   48.1031 |           False |       grey |        darkred |       False |          97.096855 |          -65.579306 |
|     L 98-59 c |  13.7959 |  235.7663 |           False |       grey |        darkred |       False |          124.53175 |             -68.313 |
|   HD 260655 b |   14.695 |  304.7311 |            True |       grey | mediumseagreen |       False |         99.2915429 |          17.5662696 |
|  TRAPPIST-1 e |   9.7014 |   57.9774 |            True |       grey | mediumseagreen |       False |         346.622013 |           -5.041274 |
|    TOI-1693 b |  15.9794 |  471.5918 |           False |       grey |        darkred |       False |         90.3083455 |          34.7730904 |
|    LHS 1478 b |  15.3211 |  405.1535 |            True |       grey | mediumseagreen |       False |         44.3388743 |          76.5514045 |
|      GJ 486 b |  16.8635 |   603.778 |            True |       grey | mediumseagreen |       False |         191.981531 |           9.7494181 |
|     TOI-270 b |  12.8035 |  201.4802 |            True |       grey | mediumseagreen |       False |         68.4160804 |         -51.9573937 |
|  Kepler-446 b |  16.1163 |  534.4944 |           False |       grey |        darkred |       False | 282.25021249999605 |   44.92111111111111 |
|  LTT 1445 A c |  12.4835 |  200.2119 |            True | darkorange | mediumseagreen |       False |         45.4624781 |         -16.5944956 |
|     TOI-771 b |  14.8318 |  401.6089 |            True |       grey | mediumseagreen |       False |        164.1138903 |         -72.9851736 |
|  TRAPPIST-1 c |  12.2145 |  198.6968 |            True |       grey | mediumseagreen |       False |  346.6220125039419 | -5.0412750000423845 |
|    LHS 1678 d |   10.308 |  115.5664 |           False |       grey |        darkred |       False |         68.1789866 |         -39.7908744 |
|     GJ 1132 b |  13.7414 |  510.1387 |            True |       grey | mediumseagreen |       False |         153.715737 |          -47.156727 |
|     GJ 3929 b |  11.7759 |  296.8246 |            True | darkorange | mediumseagreen |       False |        239.5775678 |          35.4081141 |
|  TRAPPIST-1 b |  12.4118 |  372.9787 |            True |       grey | mediumseagreen |       False |  346.6220125039419 |   -5.04127500004238 |
|   LP 791-18 d |  10.4461 |  220.8045 |           False |       grey |        darkred |       False |        165.6904843 |         -16.4064445 |
|    LHS 1678 c |   9.8175 |  171.4633 |           False |       grey |        darkred |       False |         68.1789866 |         -39.7908744 |
|    TOI-6086 b |  13.0197 |  558.0824 |           False |       grey |        darkred |       False |        265.3704236 |          30.3037755 |
|  TOI-1450 A b |  11.8025 |  382.2054 |            True |       grey | mediumseagreen |       False |        286.8540627 |          59.0866254 |
|     GJ 3473 b |  13.8688 |  775.4294 |            True |       grey | mediumseagreen |       False |        120.5936065 |           3.3371629 |
|    LTT 3780 b |  15.2417 | 1351.0152 |            True |       grey | mediumseagreen |       False |         154.644917 |            -11.7178 |
