,"Last Update: September 20, 2024",,,,,,,,,,,,,,,,,,,,Benefit estimates,,,,Cost estimates,,,,,,,,,,,,,,,,,,,
,Note: orange masses means using relationship from spright,,,,,,,,(0 when not known),,,,,,,,,,,,(distances from planets to the cosmic shoreline),,,,Hannah Diamond-Lowe's calculations,,,,,,Nestor Espinoza's calculations,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,(uses Pandeia/ETC; stellar PHOENIX models),,,,,,,,,,(scales observed MIRI uncertainties; stellar blackbodies),,,,,,,,,
Planet name,Rp,Rp_err,Mp,Mp_err,P,Kmag,Teff,log(g),Metallicity,Prot,a/Rs,Rp/Rs,Eclipse Dur,Teq,Priority metric,Rs,Ls,Instellation,XUV Instellation,Escape Velocity,Linear,Linear,Log-space,Log-space,subarray,1 eclipse depth precision,# eclipses (3sig.),tot. obs. time (3sig),# eclipses (4sig.),tot. obs. time (4sig),"Tday (no red; A = 0.1, e = 0)","Teq (full red; A = 0.3, e = 1)",Fp/Fs (no redistribution),Fp/Fs (full redistribution),1 eclipse depth precision,# eclipses (sigma used below),# eclipses (4sig.),tot. obs. time (4sig),Has < 20% mass constraint?,Parameter sources,,,General comments,
,(R_earth),(R_earth),(M_earth),(M_earth),(days),,(K),log10(cm/s^2),[Fe/H],(days),,,(hours),(K),,(R_sun),(L_Sun),(I_Earth),(I_Earth),(km/s),(using current instellation),(using XUV integrated instellation),(using current instellation),(using XUV integrated instellation),,(ppm),,(hrs),,(hrs),(K),(K),(ppm),(ppm),(ppm),4,,(hrs),"(0 = no, 1 = yes)",,,,,
TOI-406 c,2.08,0.16,6.57,0.93,13.18,8.8,3392,4.69,−0.02,29.2,44.6,0.047,2.080,359,11.43,0.41,0.0199,2.7571,28.9498,19.8804,11.4273,6.9246,0.4231,0.1725,sub256,50,5,29,10,58,447,329,94,40,68,26.10,27.00,183.38,1.00,Hord+2024,Lacedelli+2024,,"From Luque et al (upcoming paper by Lacedelli et al.) ---  ""The planet has a radius of 2.07+-0.16 Re, mass of 6.54+1.00-0.86 Me, insolation of 3.0+-0.7 Se, and equilibrium temperature of 365+-23K. The planet is a TOI-270d analog with great prospects for transmission spectroscopy. The planet is, however, not very likely to be rocky, but rather volatile-rich."". Properties from non-propietary literature: (Rp, Mp) = (1.96,5.03)",
TOI-198 b,1.44,0.08,3.91,0.46,10.22,7.9,3650,4.75,-0.7,,49.1,0.030,1.631,368,9.96,0.44,0.0310,3.0518,24.5314,18.4300,9.9576,6.0535,0.3778,0.1581,sub256,38,16,76,30,143,459,337,38,17,130372636642951000000000000000000000000000000000000000000000000000000000000000000000,600267636070230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,600267636070230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,3430169379559720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,1.00,Oddo+2023,,,"Has some ESPRESSO RVs; need better phase coverage --- poor RV constraint on the mass (4 +/- 1.1); only reason is at the top is because of the 4 in the mass. Maroon-X team following this up, have mass at the 11% precision level which are consistent with this 3-4 MEarth value. Madison Brady (mtbrady@uchicago.edu) can provide additional details if that is necessary. From follow-up with Madison: Mp = 3.909 +/- 0.461 MEarth. OK with pushing it in the TUC.",
TOI-1452 b,1.67,0.07,4.82,1.30,11.06,9.7,3185,4.95,-0.07,,47.7,0.056,1.759,326,10.91,0.28,0.0070,1.8738,36.8720,18.9924,10.9086,5.0001,0.4420,0.1306,brightsky,85,9,47,17,89,406,298,113,46,106,39.41,40.00,240.84,0.00,Cadieux+2022,,,"Is this a rock? From Rene Doyon: ""We have ongoing RV program on Gemini with Maroon-X to improve its mass from 4 sigma to 10 sigma. Part of the observations have been acquired. This it’s not unreasonable to assume that the mass measurement of this planet will be significantly improved in the coming years.""",
TOI-700 d,1.07,0.06,1.14,,37.42,8.6,3459,4.809,-0.07,54,83.4,0.023,3.314,268,4.58,0.42,0.0227,0.8525,8.2646,11.5341,4.5767,1.9861,0.3218,0.0874,sub256,37,99,819,99,819,333,245,10,4,50,844.54,845.00,8241.79,0.00,Gilbert+2023,,,No mass constraint.,
LHS 1140 b,1.73,0.03,5.60,0.19,24.74,8.8,2988,5.041,-0.15,,94.2,0.073,2.150,218,12.50,0.22,0.0033,0.3720,11.3851,20.1254,12.5026,9.4782,0.6383,0.0762,sub256,48,5,28,10,56,271,199,61,17,60,28.99,29.00,201.84,1.00,Cadieux+2024,Lillo-Box+2020,,Is this a rock?,
TOI-776 b,1.80,0.08,5.00,1.60,8.25,7.6,3725,4.8,-0.21,21.13,25.7,0.030,2.382,520,7.87,0.55,0.0516,12.1044,71.6607,18.6537,7.8723,2.3977,0.2375,0.0537,sub128,27,3,19,5,32,647,476,78,41,39,17.50,18.00,135.30,0.00,Fridlund+2024,Luque+2021,,Is this a rock?,
TOI-260 b,1.71,0.08,4.23,1.60,13.48,6.5,4050,4.45,-0.4,31,31.7,0.025,2.370,509,7.11,0.63,0.0971,11.1236,45.0711,17.5933,7.1078,4.0833,0.2248,0.0752,sub64,18,5,32,7,44,634,466,46,24,26,21.43,22.00,164.74,0.00,Polanski+2024,Hobson et al. 2024,,Mass is 3.3 +/- 1.1 --- above 30% error on mass.,
LP 890-9 c,1.37,0.06,2.68,,8.46,11.3,2850,5.126,-0.028,,55.9,0.082,0.959,269,8.25,0.15,0.0014,0.8734,45.1470,15.6700,8.2462,3.1503,0.4432,0.0344,full,329,50,170,92,313,335,246,162,56,277,108.42,109.00,447.15,0.00,Delrez+2022,,,No mass constraint.,
K2-415 b,1.02,0.05,3.00,,4.02,9.9,3173,5.066,-0.13,4.298,29.6,0.047,1.120,412,10.18,0.20,0.0035,4.7831,141.5986,19.2310,10.1758,-3.8717,0.3496,-0.0134,brightsky,141,18,65,34,122,513,377,143,67,143,56.20,57.00,255.76,0.00,Hirano+2023,,,"Poor RV constraint on the mass (3 +/- 2.7; < 7.5 MEarth at 95% confidence); only reason why it's at the top of this CS table is because of the ""3"" in the mass.",
TRAPPIST-1 g,1.13,0.02,1.32,0.04,12.35,10.3,2566,5.2396,0.0535,2.8,84.6,0.087,1.137,197,5.37,0.12,0.0006,0.2510,22.6502,12.0998,5.3659,-0.7267,0.4706,-0.0182,brightsky,,,66,46,173,246,180,70,17,147,121.83,122.00,552.51,1.00,Agol+2021,,,,
TOI-1467 b,1.68,0.09,4.48,,5.97,8.6,3776,4.787,-0.1,,22.6,0.034,1.578,562,6.79,0.46,0.0380,16.5611,117.9031,18.2878,6.7885,-6.2810,0.1983,-0.0244,sub256,56,9,41,16,74,700,514,112,60,75,34.19,35.00,195.56,0.00,Polanski+2024,Mistry+2024,,No mass constraint; is this a rock?,
TOI-700 e,0.95,0.09,0.76,,27.81,8.6,3459,4.809,-0.07,54,68.4,0.021,2.777,296,3.03,0.42,0.0226,1.2660,12.2923,9.9697,3.0257,-0.8889,0.2208,-0.0344,sub256,40,99,701,99,701,368,270,11,4,55,995.67,996.00,8430.94,0.00,Gilbert+2023,,,No mass constraint.,
TOI-1680 b,1.47,0.06,3.37,,4.80,10.8,3225,5.046,0.04,,32.0,0.064,1.186,403,8.18,0.21,0.0043,4.3655,114.7851,16.9650,8.1849,-3.5513,0.3054,-0.0396,full,219,15,58,27,105,501,369,244,113,215,42.73,43.00,199.80,0.00,Ghachoui+2023,,,No mass constraint.,
TOI-244 b,1.52,0.12,2.68,0.30,7.40,8.0,3433,4.66,-0.39,53.3,28.1,0.033,1.700,458,5.34,0.43,0.0227,7.2875,70.5527,14.8532,5.3446,-1.6477,0.1960,-0.0457,sub256,43,7,28,12,48,570,419,78,39,52,27.37,28.00,164.64,1.00,Castro-González+2023,,,Low density planet; very precise mass constraint (10%); is this a rock?,
TOI-237 b,1.44,0.12,3.00,,5.44,10.9,3212,,,,34.7,0.062,1.173,386,7.59,0.21,0.0043,3.6622,95.9878,16.1377,7.5924,-4.4233,0.3060,-0.0470,full,245,23,91,43,169,480,353,210,94,223,59.79,60.00,276.85,0.00,Waalkes+2021,,,No mass constraint.,
LTT 1445 A b,1.32,0.06,2.73,0.25,5.36,6.5,3340,,,,30.2,0.045,1.392,430,6.92,0.27,0.0079,5.6416,102.8242,16.0868,6.9187,-3.4113,0.2561,-0.0503,sub64,20,1,4,2,8,535,393,137,65,28,2.48,3.00,15.42,1.00,Pass+2023,Lavie+2023,,"MIRI/LRS; Attempted with NIRSpec/PRISM but failed; precise mass constraint. Information from Zach Berta-Thomson: ""we (= Pat Wachiraphan et al., in prep.) *do* reliably detect the eclipse of LTT1445Ab with MIRI/LRS at almost exactly the prediction for a circular orbit, so there's no longer a qualitative uncertainty in the timing of the eclipse. This information is proprietary for now, but the paper should be submitted within a month!""",
HD 260655 c,1.53,0.05,3.09,0.48,5.71,5.9,3803,,,,23.4,0.032,0.980,556,4.45,0.44,0.0362,15.8666,116.3090,15.8812,4.4526,-5.4033,0.1418,-0.0687,sub64,20,2,7,2,7,692,509,98,53,28,5.96,6.00,24.91,1.00,Luque+2022,,,Is this a rock?,
K2-239 d,1.10,0.10,1.24,,10.12,10.0,3420,,,,38.8,0.026,1.840,388,3.59,0.40,0.0192,3.7648,40.3789,11.8828,3.5920,-3.1377,0.1725,-0.0830,brightsky,116,99,524,99,524,483,355,34,15,123,711.41,712.00,4425.79,0.00,Díez-Alonso+2018,,,No mass constraint,
TOI-5799 b,1.63,0.19,3.86,,4.16,9.0,3514,,,,20.3,0.045,1.420,551,5.91,0.33,0.0150,15.3138,190.4991,17.2509,5.9066,-6.4405,0.1799,-0.0863,sub256,67,3,13,5,22,686,504,209,112,89,13.54,14.00,72.91,0.00,Mistry+2024,,,No mass constraint; is this a rock?,
TRAPPIST-1 f,1.05,0.01,1.04,0.03,9.21,10.3,2566,5.2396,0.0535,,69.5,0.080,1.048,218,4.51,0.12,0.0006,0.3714,33.4866,11.1538,4.5094,-2.9853,0.3948,-0.0865,brightsky,,,45,35,126,271,199,87,24,153,93.28,94.00,405.63,1.00,Agol+2021,,,,
K2-129 b,1.04,0.10,1.02,,8.24,8.9,3459.09,4.88177,0,,34.4,0.027,1.512,417,2.40,0.36,0.0165,5.0209263,58.9521,11.06472,34.5902,-7.6518,0.9333,-0.0970,sub256,61,38,184,70,339,519,382,42,20,82,212.75,213.00,1156.33,0.00,Dressing+2017,,,No mass constraint,
TOI-4559 b,1.42,0.13,2.84,,3.97,8.6,3558,,,,19.7,0.035,1.390,567,4.38,0.37,0.0197,17.0902,180.1894,15.8594,4.3804,-7.2222,0.1365,-0.1154,sub256,58,5,22,9,39,705,518,131,71,78,27.06,28.00,143.81,0.00,Mistry+2024,,,No mass constraint.,
Kepler-445 b,1.58,0.23,3.55,,2.98,12.6,3157,,,,21.9,0.068,1.030,477,6.83,0.21,0.0041,8.5491,231.7996,16.7645,6.8347,-10.1090,0.2293,-0.1192,full,890,89,330,99,368,593,436,402,202,515,106.35,107.00,457.21,0.00,Muirhead+2015,Mann+2017,,No mass constraint; is this a rock?,
TOI-5388.01,1.89,0.56,4.79,,2.59,8.3,3495,,,,16.9,0.056,0.313,601,5.53,0.31,0.0129,21.6708,295.2535,17.7962,5.5285,-7.4098,0.1565,-0.1199,sub256,53,1,4,1,4,748,550,380,210,142,11.05,12.00,30.61,0.00,Hord+2024,,,No mass constraint; is this a rock?,
