,https://arxiv.org/pdf/1702.03386,,,,,,,,,,,,,,,,,,,,,,
Planet name,Rp,Mp,P,Kmag,Teff,a/Rs,Rp/Rs,Teq,Priority metric,Rs,Ls,Instellation,XUV Instellation,Escape Velocity,Distance to CS,Distance to CS (XUV),,,,Parameter sources,,General comments,
,(R_earth),(M_earth),(days),,(K),,,(K),,(R_sun),(L_Sun),(I_Earth),(I_Earth),(km/s),,,,,,,,,
LHS 1140 b,1.73,5.60,24.74,8.8,2988,96.4,0.073,215,12.64,0.22,0.0033,0.0166,0.5079,20.1254,12.6378,12.4533,,,,Cadieux+2024,Lillo-Box+2020,Is this a rock?,
K2-415 b,1.02,3.00,4.02,9.9,3173,29.6,0.047,412,11.75,0.20,0.0035,0.1859,5.5036,19.2310,11.7502,9.9889,,,,Hirano+2023,,"Poor RV constraint on the mass (3 +/- 2.7; < 7.5 MEarth at 95% confidence); only reason why it's at the top of this CS table is because of the ""3"" in the mass.",
TOI-1452 b,1.67,4.82,11.06,9.7,3185,47.7,0.056,326,11.55,0.28,0.0070,0.1417,2.7884,18.9924,11.5511,10.5750,,,,Cadieux+2022,,Is this a rock?,
TOI-198 b,1.44,3.98,10.22,7.9,3650,49.1,0.030,368,11.00,0.44,0.0310,0.5949,4.7824,18.5966,11.0048,9.5712,,,,Oddo+2023,,Has some ESPRESSO RVs; need better phase coverage --- poor RV constraint on the mass (4 +/- 1.1); only reason is at the top is because of the 4 in the mass.,
TOI-1634 b,1.77,7.57,0.99,8.6,3472,7.4,0.036,904,10.68,0.45,0.0260,22.0422,197.0781,23.1136,10.6829,6.6667,,,,Luque & Palle 2022,Cloutier+2021,Is this a rock? Disparate constraints on the mass between studies.,"[Hannah] Large discrepancy in mass measured between Cloutier+ (2021): 4.91 M_earth and Hirano+ (2021): 10.1 M_earth. The mass found by Luque & Pallé (2022) takes the RVs from the previous two papers and re-fits them, and ends up with an average between the two of 7.57 M_earth. If one of the sets of RVs has some systematic bias (which kind of looks like one of them does?) then I don't think we can trust this average."
TOI-406.01,1.96,4.74,13.18,8.8,3349,47.3,0.046,344,10.02,0.39,0.0170,0.3516,4.0466,17.3945,10.0233,8.6788,,,,Hord+2024,,No mass constraint; is this a rock?,
TOI-776 b,1.80,5.00,8.25,7.6,3725,25.7,0.030,520,10.01,0.55,0.0516,3.6217,21.4415,18.6537,10.0050,6.4158,,,,Fridlund+2024,Luque+2021,Is this a rock?,
Kepler-445 b,1.58,3.55,2.98,12.6,3157,21.9,0.068,477,9.43,0.21,0.0041,0.3925,10.6432,16.7554,9.4325,6.3250,,,,Muirhead+2015,Mann+2017,No mass constraint; is this a rock?,
TOI-5388.01,1.89,4.55,2.59,8.3,3495,16.9,0.056,601,9.29,0.31,0.0129,2.0857,28.4173,17.3317,9.2916,4.4976,,,,Hord+2024,,No mass constraint; is this a rock?,
LTT 1445 A b,1.32,2.87,5.36,6.5,3340,30.2,0.045,430,9.19,0.27,0.0079,0.4008,7.3058,16.4941,9.1873,6.8631,,,,Pass+2023,Lavie+2023,MIRI/LRS; Attempted with NIRSpec/PRISM but failed; precise mass constraint,
TOI-2266 b,1.54,3.33,2.33,11.0,3200,18.4,0.058,527,9.00,0.24,0.0056,0.7578,17.0687,16.4517,8.9997,4.9685,,,,Parviainen+2024,,No mass constraint; is this a rock?,
TOI-5799 b,1.63,3.70,4.16,9.0,3514,20.3,0.045,551,8.99,0.33,0.0150,1.6784,20.8792,16.8681,8.9931,4.9732,,,,Mistry+2024,,No mass constraint; is this a rock?,
TOI-1468 b,1.28,3.21,1.88,8.5,3496,13.1,0.034,682,8.94,0.34,0.0158,4.2414,51.0145,17.7142,8.9357,3.8918,,,,Chaturvedi+2022,,Hot Rocks Survey; Precise mass constraint,
TOI-1680 b,1.47,2.97,4.80,10.8,3225,32.0,0.064,403,8.75,0.21,0.0043,0.1937,5.0939,15.9274,8.7518,6.9580,,,,Ghachoui+2023,,No mass constraint.,
TOI-237 b,1.44,2.88,5.44,10.9,3212,34.7,0.062,386,8.67,0.21,0.0043,0.1660,4.3521,15.8220,8.6684,7.0811,,,,Waalkes+2021,,No mass constraint.,
TOI-1467 b,1.68,3.93,5.97,8.6,3776,22.6,0.034,562,8.60,0.46,0.0380,3.4510,24.5688,17.1343,8.6024,4.8164,,,,Polanski+2024,Mistry+2024,No mass constraint; is this a rock?,
Kepler-446 b,1.50,3.20,1.57,12.8,3359,14.2,0.057,630,8.56,0.24,0.0065,1.5013,30.6790,16.3274,8.5627,2.9865,,,,Muirhead+2015,,No mass constraint; is this a rock?,
TOI-260 b,1.47,3.30,13.48,6.5,4050,31.7,0.025,509,8.28,0.55,0.0721,3.3250,16.1139,16.7429,8.2769,5.2713,,,,Polanski+2024,,Mass is 3.3 +/- 1.1 --- above 30% error on mass.,
TOI-771 b,1.42,2.76,2.33,9.7,3201,15.7,0.054,571,8.12,0.24,0.0055,1.0298,23.4074,15.5950,8.1170,3.0987,,,,Mistry+2024,,No mass constraint.,
LP 890-9 c,1.37,2.44,8.46,11.3,2850,55.9,0.029,269,7.89,0.43,0.0110,0.1626,2.4330,14.9461,7.8886,6.9283,,,,Delrez+2022,,No mass constraint.,
LHS 1478 b,1.24,2.33,1.95,8.8,3381,16.1,0.046,595,7.76,0.25,0.0071,1.2656,24.6103,15.3211,7.7634,3.1290,,,,Soto+2021,,Hot Rocks Survey,
TOI-4559 b,1.42,2.76,3.97,8.6,3558,19.7,0.035,567,7.60,0.37,0.0197,2.3478,24.7540,15.6335,7.6011,3.4728,,,,Mistry+2024,,No mass constraint.,
HD 260655 c,1.53,3.09,5.71,5.9,3803,23.4,0.032,556,7.58,0.44,0.0362,3.0606,22.4355,15.8812,7.5844,3.4795,,,,Luque+2022,,Is this a rock?,
GJ 486 b,1.32,2.82,1.47,6.4,3340,10.9,0.036,714,7.48,0.33,0.0123,4.7416,66.4587,16.3498,7.4849,4.0443,,,,Trifonov+2021,Moran & Stevenson+2023,"Results from JWST/NIRSpec hint atmopshere or stellar contamination, being probed by NIRISS/SOSS in Cycle 3. MIRI/LRS aims to do the same.",
TOI-244 b,1.52,2.68,7.40,8.0,3433,28.1,0.033,458,7.32,0.43,0.0227,1.3316,12.8915,14.8532,7.3193,3.9951,,,,Castro-González+2023,,Low density planet; very precise mass constraint (10%); is this a rock?,
LP 890-9 b,1.32,2.25,2.73,11.3,2850,26.3,0.028,393,7.31,0.43,0.0110,0.7343,10.9902,14.5918,7.3134,4.1339,,,,Delrez+2022,,No mass constraint.,
LHS 1140 c,1.27,1.91,3.78,8.8,2988,27.5,0.054,403,6.81,0.22,0.0033,0.2025,6.2198,13.7179,6.8103,4.4900,,,,Cadieux+2024,Lillo-Box+2020,Hot Rocks Survey,
